sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
465,9.017 425 537,"main","syscall","Returns after 91.553 us",295483,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5159,5,1C 02 A2 01 03 
466,9.017 425 537,"main","syscall","name=uart_poll_out",295483,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5164,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
467,9.017 517 090,"main","syscall","Returns after 91.553 us",295486,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5182,5,1C 02 A2 01 03 
468,9.017 517 090,"main","syscall","name=uart_poll_out",295486,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5187,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
469,9.017 578 125,"main","syscall","Returns after 61.035 us",295488,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5205,5,1C 02 A2 01 02 
470,9.017 608 643,"main","syscall","name=uart_poll_out",295489,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5210,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 01 
471,9.017 669 678,"main","syscall","Returns after 61.035 us",295491,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5228,5,1C 02 A2 01 02 
472,9.017 669 678,"main","syscall","name=uart_poll_out",295491,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5233,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
473,9.017 761 230,"main","syscall","Returns after 91.553 us",295494,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5251,5,1C 02 A2 01 03 
474,9.017 761 230,"main","syscall","name=uart_poll_out",295494,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5256,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
475,9.017 852 783,"main","syscall","Returns after 91.553 us",295497,0x0000000800001910,0x0000000800001910,0x0000000800001910,28,5274,5,1C 02 A2 01 03 
476,9.017 852 783,"main","syscall","name=uart_poll_out",295497,0x0000000800001910,0x0000000800001910,0x0000000800001910,162,5279,18,A2 01 0E 0D 75 61 72 74 5F 70 6F 6C 6C 5F 6F 75 74 00 
